row_index,actual_price_idr,base_value_log1p_price,predicted_log1p_price,fac_kolam_renang,fac_ac,fac_shower,fac_jemput_bandara,fac_televisi,fac_resepsionis_24jam,fac_laundry,fac_restoran,fac_brankas,fac_bar,fac_bebas_rokok,fac_keamanan,fac_spa,fac_concierge,fac_lift,fac_pijat,fac_dokter,fac_gym,fac_kolam_renang_pribadi,fac_kursi_roda,fac_porter,fac_smart_tv,fac_makanan_halal,fac_streaming,fac_sarapan,fac_bidet,fac_ruang_konferensi,rating,review_count,star,regency_Badung,regency_Bangli,regency_Buleleng,regency_Denpasar,regency_Gianyar,regency_Jembrana,regency_Klungkung,regency_Other,regency_Tabanan,category_Apartemen,category_Glamping,category_Guest House,category_Hostel,category_Hotel,category_Hotel Privat,category_Other,category_Resort,category_Resort Villa,category_Villa
0,13039000.0,14.040013,15.521126,0.027515402,-0.010538655,-0.018978504,0.007857141,0.0027236994,-0.0034119266,0.011396185,0.0029507463,0.011595039,0.015144221,-0.00014093585,-0.0023097433,-0.02249248,0.03471053,0.0150247365,-0.00018946151,0.020585662,0.16867624,-0.070462726,0.007560606,0.0055788513,0.0070868777,0.0027750884,-0.0006550297,-0.0058910847,-7.572829e-05,0.0,0.45979315,0.07026575,0.5889429,-0.0007348669,0.0,0.0,0.00024670849,-0.0012207818,-0.00020731974,0.0,0.0,0.004182997,0.00028589036,0.0,0.00083498226,0.0,0.011893863,0.0,0.000995222,0.14477266,-0.00036023755,-0.00461354
1,2146900.0,14.040013,14.88595,0.031182729,-0.009383617,-0.012490978,0.0050866622,0.007994577,-0.0041537113,0.011143604,1.2990189e-05,0.009031733,-0.020956216,0.01156548,0.0017271604,0.013837051,-0.044228785,-0.013924936,-0.001092088,-0.014919019,-0.12139409,0.14944999,-0.0024857526,0.01172223,-0.008195632,-0.008730012,0.00514421,0.002152953,0.00024390226,0.0,0.22564527,-0.03947817,0.5570655,-0.008182955,0.0,0.0,0.00024670849,0.018648056,-0.00027242998,0.0,0.0,0.005055805,0.00028589036,0.0,0.00083498226,0.0,0.0056533758,0.0,0.000995222,0.07176677,-0.00036023755,0.009692863
2,266436.0,14.040013,12.546026,0.0120395785,-0.012766142,0.13137145,0.0020557435,-0.005538006,-0.007794586,-0.026714716,-0.019020654,-0.024745343,-0.047275893,0.0047751237,0.00628563,-0.0068442654,-0.033005044,0.011173603,0.0014797844,-0.0035766005,-0.02922713,-0.05516959,-0.0018040091,0.0003998365,-0.0019017363,0.00045193176,-0.0010149524,0.0015208576,-7.572829e-05,0.0,-0.23932788,-0.08505636,-1.0302016,0.0017718385,0.0,0.0,0.0009139428,-0.0037233215,-0.002319105,0.0,0.0,0.0016585061,0.00023900854,0.0,0.0007399925,0.0,-0.0049727154,0.0,0.00021406858,-0.025550496,-0.0004865417,-0.0029651723
3,367616.0,14.040013,12.98405,0.012227527,-0.012461342,-0.02587998,0.0024710107,-0.0006894779,-0.0015958215,0.0114923585,0.0024305813,0.009871892,-0.07185058,0.008150376,0.004939704,-0.009191249,0.014876308,0.009800876,1.9892119e-05,0.007949651,0.051314037,-0.0790534,0.0038655843,-0.004178494,-0.0011121801,0.0011350113,-0.0027225586,0.0012182818,-7.572829e-05,0.0,-0.26951858,-0.10364179,-0.5535513,-0.0042088535,0.0,0.0,-0.008366092,-0.0038429531,-0.00031145726,0.0,0.0,0.0014137485,0.00025345292,0.0,0.0007399925,0.0,-0.010470813,0.0,0.00034097154,-0.034947824,-0.00053704396,-0.0022673905
4,311028.0,14.040013,13.054083,0.012738579,-0.010228846,-0.020163316,0.0023709028,0.0015096975,-0.009719616,0.0114923585,0.002598305,0.009587144,0.04144817,-0.006657606,0.004939704,-0.006434624,-0.016823307,0.008905651,-0.000260138,0.0046697226,-0.026405592,-0.07393231,-0.00054356176,-0.0042154593,-0.0030989195,0.0011350113,-0.0027225586,0.0015208576,-7.572829e-05,0.0,-0.31509697,-0.11804716,-0.4345964,0.0016594009,0.0,0.0,0.0009139428,-0.0014585892,-0.0003765675,0.0,0.0,0.0015791756,0.00022346662,0.0,0.0007399925,0.0,-0.0097747,0.0,0.00021406858,-0.030740079,-0.00053704396,-0.0022673905
5,415785.0,14.040013,12.960346,-0.24712346,-0.016635,-0.019250836,0.003845196,0.0022516279,-0.01145924,-0.026714716,0.003207592,-0.033800904,0.041836593,-0.0048366175,-0.0012729513,0.0046560164,-0.015785307,0.014700347,-0.001984557,0.0064692656,0.05614191,-0.0776935,-0.00054356176,0.002103927,-0.001880507,-0.0013649322,-0.0027225586,-0.0018609911,-7.572829e-05,0.0,-0.4303099,0.00084057543,-0.28204414,0.0037594903,0.0,0.0,0.0009139428,-0.0014585892,-0.0012138934,0.0,0.0,0.0013872213,0.00028589036,0.0,0.0007399925,0.0,-0.0097747,0.0,0.00021406858,-0.031705692,-0.00056251814,-0.0009462245
6,540054.0,14.040013,13.555899,0.010686892,-0.010324294,-0.021879598,0.0025454494,0.0015563328,-0.0018068573,0.013604641,0.0024234552,0.011102066,0.044306487,-0.0046920497,-0.0046122167,-0.014502763,0.022714809,0.009800876,-0.0022112797,0.008917986,0.0484909,-0.079486355,0.0038655843,-0.0045765107,-0.0014590302,-0.0033878984,-0.0027225586,-0.006640332,-7.572829e-05,0.0,0.078282066,-0.09229175,-0.43637076,0.00048603356,0.0,0.0,0.0009139428,-0.0015782207,-0.00031145726,0.0,0.0,0.0013922637,0.00022346662,0.0,0.0007399925,0.0,-0.011232402,0.0,0.00034097154,-0.041435093,-0.00053704396,-0.0043747695
7,348675.0,14.040013,13.125779,0.012489708,-0.010611185,-0.020689087,0.0025454494,0.0013264657,-0.0018068573,0.0114923585,0.002598305,0.009587144,0.03885925,0.0067413803,-0.0046122167,-0.009191249,-0.012184803,0.009800876,0.00072754425,-0.004309015,0.051250216,-0.07695903,0.0038655843,-0.0038327896,-0.001830399,0.0011350113,-0.0027225586,0.0012182818,-7.572829e-05,0.0,-0.2522716,-0.1203472,-0.50460637,0.0015628552,0.0,0.0,0.0009139428,-0.0013891017,-0.00031145726,0.0,0.0,0.0014137485,0.00025345292,0.0,0.0007399925,0.0,-0.010470813,0.0,0.00034097154,-0.032071095,-0.00053704396,-0.0022673905
8,512801.0,14.040013,13.126524,0.01204523,-0.011346376,-0.025430296,0.0023236698,0.0013264657,-0.0018068573,0.0114923585,0.0024234552,0.009587144,0.04144817,0.007358996,-0.0046122167,-0.009191249,0.018375289,0.009800876,0.0010075744,-0.0053599803,-0.025190739,-0.06849708,-0.00054356176,-0.004561164,-0.002256517,0.0011350113,-0.0027225586,0.0015208576,-7.572829e-05,0.0,-0.23637809,-0.10823394,-0.4855729,0.0016594009,0.0,0.0,0.0009139428,-0.0013891017,-0.0003765675,0.0,0.0,0.0015791756,0.00025345292,0.0,0.0007399925,0.0,-0.010470813,0.0,0.00034097154,-0.0320014,-0.00053704396,-0.0022673905
9,281093.0,14.040013,12.8847885,0.0107573485,-0.010810185,-0.016437814,0.002249231,0.0021633161,-0.0046102204,0.012936257,0.002598305,0.019085566,0.030929152,-0.0025821514,-0.0023097433,0.004005539,-0.031134753,-0.008008828,-0.0018684104,-0.0036868793,-0.038037878,-0.07108831,-0.0018040091,0.0069440478,-0.0011836068,-0.0033878984,-0.0010149524,0.0013101223,-7.572829e-05,0.0,0.032971572,0.031371616,-1.0868682,-0.002975103,0.0,0.0,0.0009139428,0.009359006,-0.0014817792,0.0,0.0,0.0016318483,0.00023100324,0.0,0.0007399925,0.0,0.0034729175,0.0,0.00034097154,-0.047242485,-0.00053704396,0.007909556
